Page,Pageviews,Avg. Time on Page,Year,Name
/library/about/facility/parking.php,522,172.69,2022,Parking
/library/research-support/citation/endnote/index.php,427,71.89,2022,EndNote
/library/technology/computing_resources.php,412,181.68,2022,Computing
/library/technology/ezproxy-error.php,368,144.39,2022,EZProxy
/library/make/index.php,347,85.96,2022,make
/library/about/facility/maps/index.php,319,52.27,2022,MapMenu
/library/about/facility/maps/ground.php,311,76.8,2022,maps ground
/library/dms/equipment/slr.php,310,183.94,2022,Equip_SLR
/library/collections/books/index.php,308,108.95,2022,Books
/library/circulation/loan_periods.php,298,119.01,2022,Loan Period
/library/docdel/index.php,288,212.11,2022,DocDel
/library/about/staff/,285,63.6,2022,Staff
/library/research-support/courses/evaluation.php,240,180.75,2022,Course Evaluation
/library/dms/index.php,233,42.56,2022,DMS
/library/about/index.php,225,141.14,2022,About
/library/circulation/patron_chart.php,210,56.26,2022,Patron Chart
/library/index.php,204,72.83,2022,Home
/library/crossroadsrecordingstudio/index.php,198,146.22,2022,Crossroads
/library/dms/policies.php,197,144.66,2022,DMS Policies
/library/vrlab/index.php,177,38.93,2022,VR lab
/library/oer/oeradoptionincentivegrant.php,174,59.68,2022,OER Adoption
/library/research-support/personallibrarians/index.php,167,230.55,2022,Personal Librarians
/library/research-support/courses/instruction-tour-request.php,163,175.93,2022,demo request
/library/about/facility/maps/s1.php,160,69.17,2022,maps s1
/library/collections/bones/index.php,160,75.27,2022,Bones
/library/building/floorplans.php,157,74.55,2022,floor plan
/library/help/ask.php,153,100.22,2022,Ask
/library/technology/spc.php,150,127.9,2022,SPC
/library/dms/media-privileges.php,145,58.77,2022,media privileges
/library/about/employment/index.php,141,145.85,2022,Jobs
/library/about/facility/maps/basement.php,141,69.23,2022,maps basement
/library/lynda/,137,87.77,2022,Lydna
/library/m/,127,4.04,2022,mobile
/library/building/building-srv-request.php,124,369.73,2022,building requests
/library/news/stories/studyspace.php,122,56.36,2022,News_study Space
/library/dms/equipment/accessories.php,121,39.05,2022,Equip_accessories
/library/dms/equipment/video.php,117,47.12,2022,Equip_Video
/library/about/facility/maps/s2.php,110,29.04,2022,maps s2
/library/coursereserve/index.php,106,67.93,2022,Course Reserves
/library/make/services.php,104,87.15,2022,Make services
/library/help/dis_learn.php,102,137.21,2022,dis learners
/library/about/facility/maps/s3.php,101,91.29,2022,maps s3
/library/make/print.php,100,60.94,2022,make print
